epoch,loss,lr,seq2seq_loss,similarity_loss,val_loss,val_seq2seq_loss,val_similarity_loss
0,11.49539566040039,5e-05,9.563508987426758,1.931886911392212,11.150177001953125,9.282050132751465,1.868126392364502
1,10.417231559753418,5e-05,8.78193187713623,1.6352994441986084,9.75436019897461,8.857333183288574,0.8970270752906799
2,9.393326759338379,5e-05,8.322284698486328,1.0710422992706299,10.265572547912598,8.554394721984863,1.7111780643463135
3,9.502528190612793,5e-05,7.928154945373535,1.5743743181228638,9.857324600219727,8.25243854522705,1.6048864126205444
4,8.556227684020996,5e-05,7.54010009765625,1.0161269903182983,9.248515129089355,7.95794153213501,1.2905735969543457
5,7.854742527008057,5e-05,7.209840297698975,0.6449021100997925,8.074333190917969,7.688621520996094,0.38571178913116455
6,7.4362382888793945,5e-05,6.877198219299316,0.5590401887893677,7.5985212326049805,7.431911468505859,0.16661006212234497
7,7.178591728210449,5e-05,6.516974449157715,0.6616169214248657,7.708694934844971,7.191282272338867,0.5174128413200378
8,6.854296684265137,5e-05,6.2501935958862305,0.604103684425354,7.903835296630859,6.985006332397461,0.9188294410705566
9,6.337174415588379,5e-05,5.987209320068359,0.3499658703804016,7.4270477294921875,6.804863929748535,0.6221838593482971
10,6.015510082244873,5e-05,5.718269348144531,0.2972409725189209,7.044276237487793,6.639761924743652,0.4045143127441406
11,5.562143802642822,5e-05,5.438449859619141,0.12369418144226074,6.979712963104248,6.499788284301758,0.47992467880249023
12,5.526638984680176,5e-05,5.237794399261475,0.28884464502334595,6.824761390686035,6.388573169708252,0.4361879229545593
13,5.354323387145996,5e-05,5.081374168395996,0.2729492783546448,6.511677265167236,6.296187877655029,0.215489462018013
14,5.212643623352051,5e-05,4.997437953948975,0.21520590782165527,6.832549571990967,6.221661567687988,0.610887885093689
15,5.019514083862305,5e-05,4.840753555297852,0.17876024544239044,6.231394290924072,6.150084018707275,0.08131025731563568
16,4.858608245849609,5e-05,4.664281845092773,0.19432690739631653,6.786107540130615,6.09131383895874,0.694793701171875
17,4.833916664123535,5e-05,4.552464008331299,0.28145331144332886,6.091118335723877,6.040573596954346,0.050544917583465576
18,4.564453125,5e-05,4.434475898742676,0.12997698783874512,6.373688220977783,5.996017932891846,0.3776700794696808
19,4.4325971603393555,5e-05,4.337105751037598,0.09549130499362946,6.160557746887207,5.954034805297852,0.20652297139167786
